year,month,state,program,days_to_initial_call,targeted_members,outreached_members,reached_members,engaged_members
2015,9,DE,IVR,541,350,285,153,65
2015,9,DE,Live Call,3480,245,223,49,33
2015,9,FL,IVR,6963,10588,3490,1669,630
2015,9,FL,Live Call,65175,4374,4033,1351,810
2015,9,GA,IVR,2320,1965,1224,622,223
2015,9,GA,Live Call,50915,3341,2837,872,548
2015,9,HI,IVR,6,4,3,2,1
2015,9,HI,Live Call,42,3,2,0,0
2015,9,IA,IVR,1425,1637,764,409,102
2015,9,IA,Live Call,22505,1207,1139,390,268
2015,9,ID,IVR,4,2,2,0,0
2015,9,ID,Live Call,137,9,9,1,1
2015,9,IL,IVR,2271,1724,1201,657,223
2015,9,IL,Live Call,37021,2228,2093,726,488
2015,9,IN,IVR,86,61,51,28,4
2015,9,IN,Live Call,941,63,56,19,11
2015,9,KS,IVR,1681,1652,1073,564,181
2015,9,KS,Live Call,14873,901,884,297,185
2015,9,KY,IVR,93,67,57,31,9
2015,9,KY,Live Call,986,61,56,14,8
2015,9,LA,IVR,99,111,54,31,8
2015,9,LA,Live Call,1537,158,154,62,31
2015,9,MA,IVR,44,35,29,19,0
2015,9,MA,Live Call,437,32,25,7,4
2015,9,MD,IVR,672,442,348,164,63
2015,9,MD,Live Call,5288,367,324,83,58
2015,9,ME,IVR,1024,794,557,295,82
2015,9,ME,Live Call,12390,834,766,246,157
2015,9,MI,IVR,271,179,167,108,26
2015,9,MI,Live Call,3097,179,162,61,42
2015,9,MN,IVR,18,11,10,6,2
2015,9,MN,Live Call,110,8,7,2,1
2015,9,MO,IVR,6101,6258,3525,1871,630
2015,9,MO,Live Call,96301,5783,5483,1941,1218
2015,9,MS,IVR,44,24,16,6,1
2015,9,MS,Live Call,291,16,14,7,5
2015,9,MT,IVR,2,2,1,1,0
2015,9,MT,Live Call,27,2,2,2,1
2015,9,NC,IVR,1666,1719,842,443,183
2015,9,NC,Live Call,45348,2990,2478,835,568
2015,9,NE,IVR,590,655,353,191,72
2015,9,NE,Live Call,7584,460,427,143,83
2015,9,NH,IVR,23,16,14,7,1
2015,9,NH,Live Call,105,6,6,1,1
2015,9,NJ,IVR,2431,1751,1331,673,196
2015,9,NJ,Live Call,32847,2277,1994,591,337
2015,9,NM,IVR,9,6,6,2,0
2015,9,NM,Live Call,187,13,13,6,4
2015,9,NV,IVR,376,320,241,125,43
2015,9,NV,Live Call,3382,263,247,92,66
2015,9,NY,IVR,2105,1646,1159,634,180
2015,9,NY,Live Call,26617,1869,1616,488,279
2015,9,OH,IVR,5301,3859,2767,1382,447
2015,9,OH,Live Call,38894,2542,2342,708,420
2015,9,OK,IVR,140,122,88,49,17
2015,9,OK,Live Call,1287,75,67,25,20
2015,9,OR,IVR,15,11,10,6,1
2015,9,OR,Live Call,212,14,14,4,4
2015,9,PA,IVR,9740,11000,5342,2596,803
2015,9,PA,Live Call,160206,9081,8754,2714,1669
2015,9,PR,IVR,,1,0,,
2015,9,RI,IVR,6,4,3,2,1
2015,9,RI,Live Call,34,3,3,1,0
2015,9,SC,IVR,83,61,52,27,7
2015,9,SC,Live Call,957,56,51,11,6
2015,9,SD,IVR,55,74,32,18,5
2015,9,SD,Live Call,1194,65,59,24,19
2015,9,TN,IVR,134,104,69,28,3
2015,9,TN,Live Call,1795,107,97,28,17
2015,9,TX,IVR,2217,1671,1231,627,204
2015,9,TX,Live Call,28201,1835,1564,477,299
2015,9,UA,IVR,,1,0,,
2015,9,UT,IVR,491,397,264,132,47
2015,9,UT,Live Call,6452,399,371,175,140
2015,9,VA,IVR,656,436,329,153,55
2015,9,VA,Live Call,4386,296,263,68,34
2015,9,VI,IVR,,1,0,,
2015,9,VT,IVR,10,8,7,6,1
2015,9,VT,Live Call,202,11,11,2,1
2015,9,WA,IVR,64,34,29,17,2
2015,9,WA,Live Call,592,37,35,16,9
2015,9,WI,IVR,23,17,14,8,2
2015,9,WI,Live Call,199,11,10,4,4
2015,9,WV,IVR,607,682,340,162,59
2015,9,WV,Live Call,8591,474,448,131,92
2015,9,WY,IVR,10,8,6,2,0
2015,9,WY,Live Call,144,10,9,2,2
2015,10,,IVR,1,1,1,0,0
2015,10,,Live Call,,3,0,,
2015,10,AL,IVR,8,21,8,6,2
2015,10,AL,Live Call,367,23,21,5,4
2015,10,AR,IVR,52,155,52,32,10
2015,10,AR,Live Call,1567,84,81,26,15
2015,10,AZ,IVR,51,45,35,17,3
2015,10,AZ,Live Call,771,49,49,19,7
2015,10,CA,IVR,62,67,62,39,3
2015,10,CA,Live Call,1279,79,75,20,14
2015,10,CO,IVR,56,70,56,30,4
2015,10,CO,Live Call,781,61,61,22,13
2015,10,CT,IVR,469,789,319,163,41
2015,10,CT,Live Call,19538,1126,1049,265,175
2015,10,DC,IVR,15,31,12,1,0
2015,10,DC,Live Call,371,21,21,8,4
2015,10,DE,IVR,204,146,112,42,18
2015,10,DE,Live Call,2217,145,139,31,21
2015,10,FL,IVR,2427,4687,1564,716,267
2015,10,FL,Live Call,41283,2465,2349,883,584
2015,10,GA,IVR,630,698,420,203,64
2015,10,GA,Live Call,26461,1719,1550,519,357
2015,10,HI,IVR,3,3,3,2,0
2015,10,IA,IVR,483,780,393,225,65
2015,10,IA,Live Call,6263,357,327,148,107
2015,10,ID,IVR,17,2,2,2,0
2015,10,ID,Live Call,21,2,2,0,0
2015,10,IL,IVR,559,704,469,283,77
2015,10,IL,Live Call,21226,1182,1096,402,265
2015,10,IN,IVR,27,27,25,17,5
2015,10,IN,Live Call,427,27,25,13,8
2015,10,KS,IVR,75,165,75,45,16
2015,10,KS,Live Call,1052,57,54,19,13
2015,10,KY,IVR,18,22,18,12,4
2015,10,KY,Live Call,457,24,24,4,3
2015,10,LA,IVR,35,51,35,19,9
2015,10,LA,Live Call,1752,98,98,35,27
2015,10,MA,IVR,8,9,8,5,0
2015,10,MA,Live Call,329,18,18,3,0
2015,10,MD,IVR,198,158,124,52,19
2015,10,MD,Live Call,2984,190,171,37,23
2015,10,ME,IVR,261,301,183,91,24
2015,10,ME,Live Call,8306,494,452,145,96
2015,10,MI,IVR,62,43,41,30,9
2015,10,MI,Live Call,1119,72,59,12,10
2015,10,MN,IVR,8,9,8,6,4
2015,10,MN,Live Call,119,5,5,2,2
2015,10,MO,IVR,1216,2104,1021,557,128
2015,10,MO,Live Call,46843,2530,2369,912,634
2015,10,MS,IVR,23,10,8,4,3
2015,10,MS,Live Call,123,8,6,1,1
2015,10,MT,Live Call,20,1,1,1,1
2015,10,NC,IVR,358,557,229,109,50
2015,10,NC,Live Call,21537,1443,1276,437,321
2015,10,NE,IVR,213,315,183,88,20
2015,10,NE,Live Call,3427,200,193,62,44
2015,10,NH,IVR,3,3,3,3,2
2015,10,NH,Live Call,69,5,4,1,1
2015,10,NJ,IVR,704,646,465,234,72
2015,10,NJ,Live Call,21949,1321,1213,380,255
2015,10,NM,IVR,1,1,1,1,0
2015,10,NM,Live Call,167,8,8,3,3
2015,10,NV,IVR,101,127,101,58,27
2015,10,NV,Live Call,1994,144,141,47,31
2015,10,NY,IVR,647,672,467,255,60
2015,10,NY,Live Call,17695,1068,969,292,183
2015,10,OH,IVR,1908,1650,1171,536,165
2015,10,OH,Live Call,24650,1464,1383,442,290
2015,10,OK,IVR,12,17,12,8,1
2015,10,OK,Live Call,335,23,17,7,4
2015,10,OR,IVR,8,8,8,5,2
2015,10,OR,Live Call,190,11,11,3,3
2015,10,PA,IVR,3190,4185,2164,1088,295
2015,10,PA,Live Call,76135,4041,3666,1199,750
2015,10,PR,IVR,,1,0,,
2015,10,RI,IVR,,2,0,,
2015,10,RI,Live Call,20,1,1,0,0
2015,10,SC,IVR,36,20,18,11,2
2015,10,SC,Live Call,418,25,22,7,4
2015,10,SD,IVR,14,32,14,5,2
2015,10,SD,Live Call,269,15,15,7,6
2015,10,TN,IVR,36,37,35,17,7
2015,10,TN,Live Call,725,42,37,10,8
2015,10,TX,IVR,597,633,462,259,68
2015,10,TX,Live Call,14328,920,811,288,187
2015,10,UT,IVR,128,167,112,57,20
2015,10,UT,Live Call,1382,108,106,49,38
2015,10,VA,IVR,219,180,138,62,23
2015,10,VA,Live Call,2515,160,146,40,25
2015,10,VT,IVR,2,2,2,2,0
2015,10,VT,Live Call,66,3,3,1,1
2015,10,WA,IVR,9,9,9,6,1
2015,10,WA,Live Call,264,19,18,4,2
2015,10,WI,IVR,8,9,8,7,1
2015,10,WI,Live Call,187,7,7,1,1
2015,10,WV,IVR,181,201,131,58,21
2015,10,WV,Live Call,3280,189,182,54,38
2015,10,WY,IVR,3,6,3,2,1
2015,10,WY,Live Call,79,4,4,1,1
2015,11,,Live Call,20,2,1,0,0
2015,11,AL,IVR,2,5,2,1,1
2015,11,AL,Live Call,198,12,11,7,6
2015,11,AR,IVR,40,66,40,15,1
2015,11,AR,Live Call,192,8,8,3,2
2015,11,AZ,IVR,42,29,26,18,7
2015,11,AZ,Live Call,395,15,15,9,5
2015,11,CA,IVR,35,19,19,8,0
2015,11,CA,Live Call,693,29,28,7,4
2015,11,CO,IVR,36,39,36,17,4
2015,11,CO,Live Call,336,13,13,2,2
2015,11,CT,IVR,199,323,183,93,19
2015,11,CT,Live Call,6120,333,327,124,76
2015,11,DC,IVR,7,14,7,4,3
2015,11,DC,Live Call,115,4,4,2,1
2015,11,DE,IVR,76,71,60,24,7
2015,11,DE,Live Call,221,13,13,3,2
2015,11,FL,IVR,960,1542,784,344,144
2015,11,FL,Live Call,5235,293,292,122,93
2015,11,GA,IVR,278,296,214,109,33
2015,11,GA,Live Call,7188,467,461,212,164
2015,11,IA,IVR,277,277,197,96,36
2015,11,IA,Live Call,827,59,59,28,26
2015,11,ID,Live Call,21,1,1,0,0
2015,11,IL,IVR,264,302,248,160,51
2015,11,IL,Live Call,4375,268,267,119,81
2015,11,IN,IVR,6,6,6,5,1
2015,11,IN,Live Call,114,6,6,2,2
2015,11,KS,IVR,56,64,40,23,4
2015,11,KS,Live Call,59,6,6,2,2
2015,11,KY,IVR,5,7,5,3,0
2015,11,KY,Live Call,97,6,6,3,2
2015,11,LA,IVR,9,25,9,6,4
2015,11,LA,Live Call,182,8,8,5,4
2015,11,MA,IVR,,1,0,,
2015,11,MA,Live Call,13,1,1,1,1
2015,11,MD,IVR,106,91,90,50,20
2015,11,MD,Live Call,306,29,29,10,6
2015,11,ME,IVR,67,90,67,33,12
2015,11,ME,Live Call,2985,165,165,68,50
2015,11,MI,IVR,30,15,14,9,1
2015,11,MI,Live Call,371,28,28,11,8
2015,11,MO,IVR,864,746,544,276,66
2015,11,MO,Live Call,10348,584,582,271,213
2015,11,MS,IVR,1,1,1,0,0
2015,11,MS,Live Call,31,3,3,1,1
2015,11,MT,Live Call,21,1,1,0,0
2015,11,NC,IVR,155,201,107,64,24
2015,11,NC,Live Call,4823,367,364,158,124
2015,11,NE,IVR,124,128,92,42,14
2015,11,NE,Live Call,293,16,16,8,6
2015,11,NH,Live Call,22,2,2,2,2
2015,11,NJ,IVR,359,329,295,158,54
2015,11,NJ,Live Call,6937,402,396,160,113
2015,11,NM,Live Call,111,4,4,1,0
2015,11,NV,IVR,61,74,61,32,11
2015,11,NV,Live Call,587,24,23,9,5
2015,11,NY,IVR,193,260,193,108,26
2015,11,NY,Live Call,5705,325,322,118,89
2015,11,OH,IVR,863,806,671,306,100
2015,11,OH,Live Call,3774,204,203,71,52
2015,11,OK,IVR,8,11,8,4,1
2015,11,OK,Live Call,74,8,8,4,4
2015,11,OR,Live Call,105,4,4,1,1
2015,11,PA,IVR,1216,1417,1024,523,177
2015,11,PA,Live Call,11440,885,876,358,272
2015,11,RI,Live Call,34,1,1,1,1
2015,11,SC,IVR,4,4,4,2,1
2015,11,SC,Live Call,95,7,6,1,1
2015,11,SD,IVR,10,13,10,5,1
2015,11,SD,Live Call,21,1,1,0,0
2015,11,TN,IVR,24,10,8,2,0
2015,11,TN,Live Call,328,17,17,5,3
2015,11,TX,IVR,131,155,115,57,21
2015,11,TX,Live Call,4518,297,295,119,86
2015,11,UT,IVR,63,59,47,27,9
2015,11,UT,Live Call,264,22,22,11,7
2015,11,VA,IVR,57,77,57,21,11
2015,11,VA,Live Call,756,44,43,13,8
2015,11,VT,Live Call,68,2,2,0,0
2015,11,WA,IVR,2,2,2,2,0
2015,11,WA,Live Call,86,4,4,2,2
2015,11,WI,IVR,2,2,2,2,0
2015,11,WI,Live Call,55,2,2,2,2
2015,11,WV,IVR,84,95,84,39,9
2015,11,WV,Live Call,345,20,20,7,6
2015,11,WY,IVR,17,1,1,1,0
2015,12,AL,IVR,5,9,5,2,1
2015,12,AL,Live Call,112,11,11,2,2
2015,12,AR,IVR,58,38,26,13,6
2015,12,AR,Live Call,325,29,29,10,9
2015,12,AZ,IVR,7,10,7,5,1
2015,12,AZ,Live Call,108,17,15,5,2
2015,12,CA,IVR,22,23,22,12,2
2015,12,CA,Live Call,303,43,43,13,7
2015,12,CO,IVR,8,10,8,2,2
2015,12,CO,Live Call,192,28,27,9,6
2015,12,CT,IVR,120,143,90,44,21
2015,12,CT,Live Call,3735,336,334,103,67
2015,12,DC,IVR,8,10,8,4,3
2015,12,DC,Live Call,128,12,12,4,3
2015,12,DE,IVR,19,21,19,9,4
2015,12,DE,Live Call,591,55,54,23,21
2015,12,FL,IVR,360,652,284,137,73
2015,12,FL,Live Call,11827,1087,1084,447,344
2015,12,GA,IVR,234,195,158,80,46
2015,12,GA,Live Call,5120,432,431,168,124
2015,12,HI,IVR,1,1,1,1,1
2015,12,HI,Live Call,,1,0,,
2015,12,IA,IVR,426,258,204,99,50
2015,12,IA,Live Call,2547,247,247,117,86
2015,12,ID,IVR,1,1,1,0,0
2015,12,ID,Live Call,7,1,1,1,1
2015,12,IL,IVR,223,208,176,97,52
2015,12,IL,Live Call,3559,312,312,130,94
2015,12,IN,IVR,21,6,6,2,1
2015,12,IN,Live Call,126,11,11,3,1
2015,12,KS,IVR,37,50,37,21,10
2015,12,KS,Live Call,603,61,61,25,20
2015,12,KY,IVR,8,8,8,3,2
2015,12,KY,Live Call,137,13,12,5,5
2015,12,LA,IVR,11,16,11,6,5
2015,12,LA,Live Call,451,36,36,15,13
2015,12,MA,IVR,2,2,2,1,1
2015,12,MA,Live Call,45,4,4,2,1
2015,12,MD,IVR,37,21,21,7,2
2015,12,MD,Live Call,875,77,77,24,17
2015,12,ME,IVR,44,59,44,22,9
2015,12,ME,Live Call,2105,185,185,64,49
2015,12,MI,IVR,16,17,16,10,3
2015,12,MI,Live Call,353,32,32,11,7
2015,12,MN,IVR,2,2,2,1,0
2015,12,MN,Live Call,58,5,5,4,3
2015,12,MO,IVR,674,605,484,248,111
2015,12,MO,Live Call,7424,664,662,262,198
2015,12,MS,IVR,3,3,3,2,0
2015,12,MS,Live Call,48,4,4,3,2
2015,12,NC,IVR,127,144,111,59,32
2015,12,NC,Live Call,4411,370,367,141,112
2015,12,NE,IVR,95,78,63,31,17
2015,12,NE,Live Call,900,82,81,37,31
2015,12,NH,Live Call,12,1,1,0,0
2015,12,NJ,IVR,180,174,150,64,29
2015,12,NJ,Live Call,4791,423,421,144,104
2015,12,NM,IVR,2,2,2,0,0
2015,12,NV,IVR,35,25,19,9,4
2015,12,NV,Live Call,332,48,47,12,5
2015,12,NY,IVR,148,181,133,65,30
2015,12,NY,Live Call,4569,421,417,140,109
2015,12,OH,IVR,302,335,254,109,47
2015,12,OH,Live Call,5968,531,529,197,147
2015,12,OK,IVR,2,2,2,1,1
2015,12,OK,Live Call,131,12,12,8,7
2015,12,OR,IVR,1,1,1,1,1
2015,12,OR,Live Call,21,3,3,1,1
2015,12,PA,IVR,1334,1221,957,467,251
2015,12,PA,Live Call,18845,1698,1693,609,451
2015,12,RI,Live Call,12,1,1,0,0
2015,12,SC,IVR,7,7,7,6,3
2015,12,SC,Live Call,175,16,16,7,6
2015,12,SD,IVR,26,14,10,4,2
2015,12,SD,Live Call,148,14,14,7,6
2015,12,TN,IVR,13,14,13,7,5
2015,12,TN,Live Call,193,17,17,6,5
2015,12,TX,IVR,297,179,159,81,39
2015,12,TX,Live Call,4677,413,409,139,104
2015,12,UT,IVR,77,52,45,21,10
2015,12,UT,Live Call,1264,86,86,24,18
2015,12,VA,IVR,38,49,38,14,2
2015,12,VA,Live Call,937,84,84,26,15
2015,12,VT,Live Call,12,1,1,0,0
2015,12,WA,IVR,3,3,3,3,1
2015,12,WA,Live Call,63,9,9,4,3
2015,12,WI,IVR,2,3,2,0,0
2015,12,WI,Live Call,59,5,5,0,0
2015,12,WV,IVR,46,51,46,29,15
2015,12,WV,Live Call,860,73,72,21,17
2015,12,WY,IVR,19,5,3,2,2
2015,12,WY,Live Call,15,1,1,1,1
