year,month,state,program,days_to_initial_call,targeted_members,outreached_members,reached_members,engaged_members
2015,4,NM,IVR,80,32,29,16,8
2015,4,NV,IVR,2040,866,780,417,234
2015,4,NV,Live Call,150,21,16,4,3
2015,4,NY,IVR,16812,5841,5233,3094,1792
2015,4,NY,Live Call,707,89,73,18,15
2015,4,OH,IVR,30553,10495,9173,4819,2588
2015,4,OH,Live Call,1423,247,178,51,43
2015,4,OK,IVR,1126,395,328,193,112
2015,4,OK,Live Call,46,8,5,0,0
2015,4,OR,IVR,108,45,40,26,11
2015,4,PA,IVR,108605,35692,28396,14223,7827
2015,4,PA,Live Call,4763,1015,603,199,162
2015,4,PR,IVR,27,6,6,3,1
2015,4,PR,Live Call,7,1,1,0,0
2015,4,RI,IVR,38,15,12,6,3
2015,4,SC,IVR,660,225,209,126,67
2015,4,SC,Live Call,41,6,4,2,2
2015,4,SD,IVR,884,294,247,136,76
2015,4,SD,Live Call,67,11,7,3,2
2015,4,TN,IVR,956,305,276,151,78
2015,4,TN,Live Call,74,10,7,2,2
2015,4,TX,IVR,17988,6380,5711,3146,1815
2015,4,TX,Live Call,2318,281,241,59,44
2015,4,U,IVR,10,4,3,3,2
2015,4,UA,IVR,,1,0,,
2015,4,UT,IVR,3448,1767,1448,738,377
2015,4,UT,Live Call,240,48,25,11,7
2015,4,VA,IVR,3662,1219,1118,553,285
2015,4,VA,Live Call,120,20,14,6,5
2015,4,VI,IVR,3,1,1,0,0
2015,4,VT,IVR,103,32,28,20,8
2015,4,VT,Live Call,,1,0,,
2015,4,WA,IVR,291,119,108,72,30
2015,4,WA,Live Call,63,6,6,2,1
2015,4,WI,IVR,182,63,61,40,16
2015,4,WI,Live Call,,2,0,,
2015,4,WV,IVR,6850,2295,1830,1010,583
2015,4,WV,Live Call,223,56,34,12,11
2015,4,WY,IVR,121,60,51,32,17
2015,4,WY,Live Call,11,1,1,1,1
2015,5,,IVR,30,18,11,5,3
2015,5,,Live Call,,2,0,,
2015,5,AK,IVR,2,1,1,1,1
2015,5,AL,IVR,159,114,106,55,32
2015,5,AL,Live Call,24,3,3,1,0
2015,5,AR,IVR,1324,1230,883,459,218
2015,5,AR,Live Call,921,93,93,42,37
2015,5,AZ,IVR,285,269,253,141,47
2015,5,AZ,Live Call,45,4,4,1,1
2015,5,CA,IVR,1856,1691,1558,808,375
2015,5,CA,Live Call,1378,145,145,45,36
2015,5,CO,IVR,382,365,330,174,59
2015,5,CO,Live Call,163,16,16,8,4
2015,5,CT,IVR,5400,3104,2778,1500,704
2015,5,CT,Live Call,1215,121,121,30,25
2015,5,DC,IVR,187,101,84,40,29
2015,5,DC,Live Call,149,13,13,4,4
2015,5,DE,IVR,1187,674,612,307,151
2015,5,DE,Live Call,308,34,34,12,7
2015,5,FL,IVR,18063,16019,9227,4158,2164
2015,5,FL,Live Call,10432,1259,1246,420,331
2015,5,GA,IVR,6657,4264,3679,1955,979
2015,5,GA,Live Call,4580,502,498,153,112
2015,5,HI,IVR,7,6,6,3,0
2015,5,IA,IVR,5521,5097,3892,2069,922
2015,5,IA,Live Call,3471,360,356,138,104
2015,5,ID,IVR,19,19,19,11,5
2015,5,ID,Live Call,11,1,1,0,0
2015,5,IL,IVR,6320,5423,4563,2503,1187
2015,5,IL,Live Call,5664,593,589,217,168
2015,5,IN,IVR,275,153,143,75,37
2015,5,IN,Live Call,76,8,8,2,2
2015,5,KS,IVR,4666,4138,3211,1527,611
2015,5,KS,Live Call,3238,352,346,124,104
2015,5,KY,IVR,254,149,143,82,32
2015,5,KY,Live Call,42,4,4,2,1
2015,5,LA,IVR,89,65,62,30,14
2015,5,LA,Live Call,40,4,4,2,2
2015,5,MA,IVR,180,102,94,53,21
2015,5,MA,Live Call,62,6,6,0,0
2015,5,MD,IVR,1323,737,670,303,134
2015,5,MD,Live Call,348,35,35,16,12
2015,5,ME,IVR,3177,1721,1567,794,322
2015,5,ME,Live Call,750,75,75,23,15
2015,5,MI,IVR,712,412,384,244,85
2015,5,MI,Live Call,233,22,22,9,6
2015,5,MN,IVR,58,38,35,20,5
2015,5,MN,Live Call,31,2,2,1,1
2015,5,MO,IVR,17193,15307,11565,5731,2427
2015,5,MO,Live Call,10967,1194,1162,421,333
2015,5,MS,IVR,63,36,32,20,8
2015,5,MS,Live Call,10,1,1,1,1
2015,5,MT,IVR,5,4,4,2,1
2015,5,NC,IVR,5311,3504,3013,1646,882
2015,5,NC,Live Call,4235,449,449,165,136
2015,5,ND,IVR,1,1,1,0,0
2015,5,NE,IVR,1979,1775,1361,685,294
2015,5,NE,Live Call,1076,113,112,36,30
2015,5,NH,IVR,54,28,27,18,6
2015,5,NH,Live Call,28,3,3,1,1
2015,5,NJ,IVR,7150,3964,3692,1929,937
2015,5,NJ,Live Call,2036,208,207,61,45
2015,5,NM,IVR,23,22,20,12,3
2015,5,NV,IVR,618,614,552,276,110
2015,5,NV,Live Call,406,42,42,14,10
2015,5,NY,IVR,7505,4112,3875,2176,1006
2015,5,NY,Live Call,1249,130,130,33,21
2015,5,OH,IVR,13859,8080,7071,3346,1441
2015,5,OH,Live Call,3668,412,411,127,101
2015,5,OK,IVR,326,278,227,123,62
2015,5,OK,Live Call,174,19,19,8,8
2015,5,OR,IVR,30,32,30,15,9
2015,5,OR,Live Call,11,1,1,0,0
2015,5,PA,IVR,40404,27565,20606,9209,4156
2015,5,PA,Live Call,13876,1807,1794,607,487
2015,5,PR,IVR,2,3,1,0,0
2015,5,RI,IVR,38,16,13,7,5
2015,5,SC,IVR,306,163,151,85,27
2015,5,SC,Live Call,92,9,9,5,5
2015,5,SD,IVR,235,213,161,81,32
2015,5,SD,Live Call,213,22,22,9,8
2015,5,TN,IVR,295,193,178,93,47
2015,5,TN,Live Call,106,11,11,4,3
2015,5,TX,IVR,4085,3345,2967,1488,771
2015,5,TX,Live Call,6652,679,679,198,154
2015,5,U,IVR,2,2,1,1,0
2015,5,UA,IVR,,1,0,,
2015,5,UT,IVR,1203,1270,1051,450,179
2015,5,UT,Live Call,1193,128,125,46,36
2015,5,VA,IVR,1752,977,900,407,182
2015,5,VA,Live Call,371,38,38,10,8
2015,5,VT,IVR,38,24,20,12,7
2015,5,VT,Live Call,31,3,3,1,1
2015,5,WA,IVR,78,84,77,47,18
2015,5,WA,Live Call,82,8,8,1,0
2015,5,WI,IVR,60,47,45,27,9
2015,5,WI,Live Call,25,3,3,1,1
2015,5,WV,IVR,2474,1745,1286,661,324
2015,5,WV,Live Call,731,94,92,29,26
2015,5,WY,IVR,36,40,36,20,10
2015,5,WY,Live Call,52,6,6,3,3
2015,6,,IVR,29,15,13,8,3
2015,6,,Live Call,25,6,2,1,1
2015,6,AK,IVR,12,3,3,3,2
2015,6,AL,IVR,333,158,146,84,46
2015,6,AL,Live Call,123,16,12,6,5
2015,6,AR,IVR,1677,1009,755,420,197
2015,6,AR,Live Call,2259,207,205,73,57
2015,6,AZ,IVR,548,244,235,142,51
2015,6,AZ,Live Call,286,32,25,7,5
2015,6,CA,IVR,6114,2983,2748,1405,634
2015,6,CA,Live Call,3718,417,391,156,128
2015,6,CO,IVR,715,366,332,181,69
2015,6,CO,Live Call,372,37,30,9,6
2015,6,CT,IVR,9163,4071,3637,1837,839
2015,6,CT,Live Call,4943,418,403,157,116
2015,6,DC,IVR,239,129,106,51,29
2015,6,DC,Live Call,190,15,15,7,6
2015,6,DE,IVR,1510,681,616,309,152
2015,6,DE,Live Call,771,81,77,23,17
2015,6,DS,IVR,2,1,1,0,0
2015,6,FL,IVR,26804,15370,10286,5222,2684
2015,6,FL,Live Call,17088,2033,1984,755,594
2015,6,GA,IVR,10577,4895,4339,2367,1192
2015,6,GA,Live Call,19955,1834,1723,699,565
2015,6,HI,IVR,14,7,7,7,4
2015,6,HI,Live Call,20,2,2,0,0
2015,6,IA,IVR,7487,4224,3399,1944,869
2015,6,IA,Live Call,6406,648,646,243,183
2015,6,ID,IVR,22,13,11,7,3
2015,6,ID,Live Call,19,4,2,0,0
2015,6,IL,IVR,8910,4731,4093,2381,1125
2015,6,IL,Live Call,10283,1085,1075,331,255
2015,6,IN,IVR,483,203,188,100,43
2015,6,IN,Live Call,255,32,26,13,11
2015,6,KS,IVR,6426,3600,2932,1584,611
2015,6,KS,Live Call,6488,671,671,226,165
2015,6,KY,IVR,565,237,224,108,48
2015,6,KY,Live Call,347,38,31,13,11
2015,6,LA,IVR,227,121,109,57,24
2015,6,LA,Live Call,190,19,17,7,6
2015,6,MA,IVR,265,111,100,53,13
2015,6,MA,Live Call,106,15,11,3,2
2015,6,MD,IVR,2124,890,805,386,180
2015,6,MD,Live Call,1409,137,126,40,33
2015,6,ME,IVR,4518,1977,1781,950,375
2015,6,ME,Live Call,2067,206,195,82,63
2015,6,MI,IVR,1135,496,458,308,118
2015,6,MI,Live Call,659,63,55,18,16
2015,6,MN,IVR,106,39,37,22,10
2015,6,MN,Live Call,26,6,2,1,1
2015,6,MO,IVR,22310,12950,10152,5531,2368
2015,6,MO,Live Call,22806,2363,2346,825,591
2015,6,MS,IVR,100,49,41,24,13
2015,6,MS,Live Call,44,4,4,3,1
2015,6,MT,IVR,6,3,3,0,0
2015,6,MT,Live Call,8,2,1,0,0
2015,6,NC,IVR,9089,4170,3795,2126,1163
2015,6,NC,Live Call,21625,1804,1722,716,603
2015,6,ND,IVR,9,4,4,3,2
2015,6,NE,IVR,2597,1448,1170,663,298
2015,6,NE,Live Call,2415,245,244,80,52
2015,6,NH,IVR,78,42,37,22,10
2015,6,NH,Live Call,8,2,1,1,1
2015,6,NJ,IVR,12998,5395,5084,2628,1383
2015,6,NJ,Live Call,7021,666,601,201,155
2015,6,NM,IVR,47,24,23,10,7
2015,6,NM,Live Call,47,5,4,2,1
2015,6,NV,IVR,1474,742,682,342,156
2015,6,NV,Live Call,1160,100,100,38,30
2015,6,NY,IVR,13694,5625,5286,2937,1447
2015,6,NY,Live Call,5151,491,452,177,136
2015,6,OH,IVR,17991,7874,7006,3609,1648
2015,6,OH,Live Call,8463,892,878,311,253
2015,6,OK,IVR,576,295,260,135,60
2015,6,OK,Live Call,575,59,55,9,6
2015,6,OR,IVR,80,42,40,25,9
2015,6,OR,Live Call,69,13,8,2,2
2015,6,PA,IVR,49239,24607,19444,9224,4379
2015,6,PA,Live Call,28591,3841,3793,1291,993
2015,6,PR,IVR,3,3,1,0,0
2015,6,RI,IVR,48,19,19,7,1
2015,6,RI,Live Call,8,1,1,0,0
2015,6,SC,IVR,562,209,202,120,48
2015,6,SC,Live Call,332,44,35,11,10
2015,6,SD,IVR,345,197,156,85,34
2015,6,SD,Live Call,243,25,25,9,7
2015,6,TN,IVR,679,330,306,155,75
2015,6,TN,Live Call,551,56,48,22,18
2015,6,TX,IVR,11568,5549,5094,2650,1288
2015,6,TX,Live Call,10138,950,875,315,252
2015,6,U,IVR,4,3,2,2,1
2015,6,UA,IVR,,1,0,,
2015,6,UT,IVR,2093,1185,994,500,224
2015,6,UT,Live Call,2320,244,244,77,61
2015,6,VA,IVR,2304,999,932,426,187
2015,6,VA,Live Call,1009,111,93,37,24
2015,6,VI,IVR,,1,0,,
2015,6,VT,IVR,65,30,27,21,3
2015,6,VT,Live Call,28,9,4,0,0
2015,6,WA,IVR,257,133,121,73,28
2015,6,WA,Live Call,104,10,9,4,2
2015,6,WI,IVR,100,50,48,24,11
2015,6,WI,Live Call,105,14,11,3,2
2015,6,WV,IVR,2919,1476,1149,646,340
2015,6,WV,Live Call,1737,229,224,84,63
2015,6,WY,IVR,66,40,33,15,8
2015,6,WY,Live Call,70,9,8,3,2
2015,7,,IVR,12,9,6,3,0
2015,7,,Live Call,,2,0,,
2015,7,AK,IVR,2,1,1,1,0
2015,7,AK,Live Call,14,1,1,0,0
2015,7,AL,IVR,101,52,43,20,10
2015,7,AL,Live Call,358,31,29,9,7
2015,7,AR,IVR,1074,811,522,282,130
2015,7,AR,Live Call,1448,101,100,46,38
2015,7,AZ,IVR,284,152,142,69,30
2015,7,AZ,Live Call,249,25,24,12,9
2015,7,CA,IVR,2367,1303,1116,573,247
2015,7,CA,Live Call,8377,700,693,258,197
2015,7,CO,IVR,443,244,214,105,45
2015,7,CO,Live Call,643,54,53,26,20
2015,7,CT,IVR,3345,2141,1605,803,364
2015,7,CT,Live Call,10739,890,887,235,164
2015,7,DC,IVR,149,85,67,31,18
2015,7,DC,Live Call,242,16,16,4,4
2015,7,DE,IVR,917,499,436,195,105
2015,7,DE,Live Call,568,51,51,19,16
2015,7,DS,Live Call,14,1,1,0,0
2015,7,FL,IVR,12447,12345,5751,2550,1342
2015,7,FL,Live Call,14556,1179,1174,477,353
2015,7,GA,IVR,4536,2647,2058,1057,493
2015,7,GA,Live Call,20218,1497,1488,549,426
2015,7,HI,IVR,10,6,5,3,1
2015,7,HI,Live Call,14,1,1,0,0
2015,7,IA,IVR,3475,2479,1685,881,364
2015,7,IA,Live Call,15399,1129,1128,485,374
2015,7,ID,IVR,14,8,7,3,1
2015,7,ID,Live Call,18,3,3,0,0
2015,7,IL,IVR,4460,2571,2110,1095,526
2015,7,IL,Live Call,17262,1273,1269,486,357
2015,7,IN,IVR,181,88,83,41,19
2015,7,IN,Live Call,576,51,51,19,13
2015,7,KS,IVR,4773,2932,2229,1122,475
2015,7,KS,Live Call,4246,298,296,133,104
2015,7,KY,IVR,211,103,98,48,22
2015,7,KY,Live Call,670,63,63,19,13
2015,7,LA,IVR,114,62,57,24,16
2015,7,LA,Live Call,318,30,30,12,11
2015,7,MA,IVR,108,61,54,35,11
2015,7,MA,Live Call,387,32,32,7,3
2015,7,MD,IVR,1067,562,496,209,109
2015,7,MD,Live Call,1271,106,106,32,27
2015,7,ME,IVR,1793,1030,874,422,187
2015,7,ME,Live Call,5102,487,486,155,113
2015,7,MI,IVR,538,256,239,147,70
2015,7,MI,Live Call,1401,124,124,50,38
2015,7,MN,IVR,61,24,23,12,5
2015,7,MN,Live Call,52,6,6,3,2
2015,7,MO,IVR,12119,8341,5752,2818,1214
2015,7,MO,Live Call,36554,2673,2640,1039,775
2015,7,MS,IVR,59,25,22,9,4
2015,7,MS,Live Call,101,12,11,8,5
2015,7,MT,IVR,4,2,2,2,0
2015,7,NC,IVR,3086,1929,1423,717,365
2015,7,NC,Live Call,22329,1674,1668,640,531
2015,7,ND,IVR,,1,0,,
2015,7,ND,Live Call,15,1,1,0,0
2015,7,NE,IVR,1507,1062,746,380,155
2015,7,NE,Live Call,3192,229,228,82,60
2015,7,NH,IVR,36,21,18,8,4
2015,7,NH,Live Call,66,5,5,2,2
2015,7,NJ,IVR,4500,2372,2070,1026,518
2015,7,NJ,Live Call,14442,1202,1200,361,249
2015,7,NM,IVR,22,14,11,7,5
2015,7,NM,Live Call,47,4,4,1,1
2015,7,NV,IVR,864,465,402,189,98
2015,7,NV,Live Call,1345,107,106,40,37
2015,7,NY,IVR,4337,2327,1996,1038,489
2015,7,NY,Live Call,12714,1071,1069,298,207
2015,7,OH,IVR,9317,5325,4396,2037,900
2015,7,OH,Live Call,9262,690,688,224,167
2015,7,OK,IVR,368,208,169,83,41
2015,7,OK,Live Call,337,32,32,9,6
2015,7,OR,IVR,51,19,18,5,1
2015,7,OR,Live Call,88,9,9,3,3
2015,7,PA,IVR,20000,14016,9445,4225,2018
2015,7,PA,Live Call,77405,5919,5912,1776,1356
2015,7,PR,IVR,,1,0,,
2015,7,RI,IVR,27,7,6,3,1
2015,7,RI,Live Call,44,3,3,1,1
2015,7,SC,IVR,175,91,80,45,14
2015,7,SC,Live Call,536,50,50,18,15
2015,7,SD,IVR,160,119,80,32,14
2015,7,SD,Live Call,691,52,52,19,14
2015,7,TN,IVR,324,164,147,67,21
2015,7,TN,Live Call,1094,83,83,26,19
2015,7,TX,IVR,4424,2339,2017,947,432
2015,7,TX,Live Call,15567,1273,1267,409,300
2015,7,U,IVR,,1,0,,
2015,7,UT,IVR,1049,620,502,233,121
2015,7,UT,Live Call,4672,318,317,116,91
2015,7,VA,IVR,1178,614,544,240,125
2015,7,VA,Live Call,1654,132,132,41,28
2015,7,VI,IVR,,1,0,,
2015,7,VT,IVR,22,12,11,8,2
2015,7,VT,Live Call,52,6,6,3,2
2015,7,WA,IVR,102,56,51,29,7
2015,7,WA,Live Call,318,30,30,8,6
2015,7,WI,IVR,30,15,15,11,5
2015,7,WI,Live Call,161,16,16,5,5
2015,7,WV,IVR,1420,1041,680,362,171
2015,7,WV,Live Call,3101,245,245,93,76
2015,7,WY,IVR,32,20,16,11,4
2015,7,WY,Live Call,212,15,15,4,2
2015,8,,IVR,10,5,5,4,1
2015,8,,Live Call,,4,0,,
2015,8,AK,IVR,2,1,1,1,1
2015,8,AL,IVR,52,58,26,12,5
2015,8,AL,Live Call,452,45,43,21,17
2015,8,AR,IVR,798,623,352,183,72
2015,8,AR,Live Call,4637,230,209,83,52
2015,8,AZ,IVR,185,98,85,42,11
2015,8,AZ,Live Call,864,54,53,29,21
2015,8,CA,IVR,1340,825,581,299,108
2015,8,CA,Live Call,7308,741,660,305,230
2015,8,CO,IVR,284,168,133,78,26
2015,8,CO,Live Call,1337,95,92,53,36
2015,8,CT,IVR,1434,1367,633,304,98
2015,8,CT,Live Call,10315,900,815,269,187
2015,8,DC,IVR,96,66,42,20,12
2015,8,DC,Live Call,425,31,29,17,14
2015,8,DE,IVR,730,357,293,150,58
2015,8,DE,Live Call,2272,148,144,43,27
2015,8,FL,IVR,8796,9654,3371,1555,650
2015,8,FL,Live Call,59017,3172,2800,1118,739
2015,8,GA,IVR,3349,2107,1385,722,304
2015,8,GA,Live Call,26368,1919,1760,688,518
2015,8,HI,IVR,4,2,2,2,1
2015,8,IA,IVR,1847,1579,844,456,147
2015,8,IA,Live Call,16482,1156,1107,426,314
2015,8,ID,IVR,4,5,2,0,0
2015,8,ID,Live Call,28,4,4,3,3
2015,8,IL,IVR,2159,1449,1006,548,171
2015,8,IL,Live Call,18276,1296,1227,465,329
2015,8,IN,IVR,96,59,47,22,8
2015,8,IN,Live Call,567,52,49,29,21
2015,8,KS,IVR,2848,1966,1337,696,248
2015,8,KS,Live Call,16590,869,790,263,171
2015,8,KY,IVR,95,60,46,23,6
2015,8,KY,Live Call,585,53,48,15,11
2015,8,LA,IVR,506,305,253,156,75
2015,8,LA,Live Call,364,28,24,10,9
2015,8,MA,IVR,60,28,20,11,3
2015,8,MA,Live Call,331,24,22,10,7
2015,8,MD,IVR,692,387,288,128,60
2015,8,MD,Live Call,2690,195,176,43,28
2015,8,ME,IVR,855,609,406,206,81
2015,8,ME,Live Call,5400,442,421,148,100
2015,8,MI,IVR,242,122,103,66,19
2015,8,MI,Live Call,1874,144,135,65,42
2015,8,MN,IVR,14,10,7,6,2
2015,8,MN,Live Call,87,7,7,0,0
2015,8,MO,IVR,7138,5653,3272,1666,578
2015,8,MO,Live Call,54900,3527,3228,1249,837
2015,8,MS,IVR,29,18,14,6,2
